title,date,link,abstract
Private perspectives on healthcare opportunities,"Jul 10, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/private-perspectives-on-healthcare-opportunities,"COVID is driving big changes in global healthcare, creating both winners and losers. In this setting, private debt and equity can be effective ways to invest."
Credit downgrades and fallen angels,"Jul 1, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/credit-downgrades,We explore the current credit downgrade landscape and look at two different ways to navigate credit markets given this new environment.
Private equity secondaries: Four things to know now,"Jul 30, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/private-equity-secondary-considerations,"As periods of market stress roll on, opportunities to buy secondary interests in private funds may grow. Here are the deals and discounts our team is seeing."
Private market paths in re-emerging Asia,"Jun 16, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128,"As the diverse economies of Asia-Pacific emerge from their Covid-19 lockdowns, multiple dynamics are driving markets."
Optimized private equity programs,"Jun 10, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/optimized-private-equity-programs,"We lay out the differences between diversified private equity programs investing in primaries, secondaries and co-investments."
Private capital’s role in post-Covid healthcare,"Jun 2, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128,"The Covid-19 crisis is significantly impacting the healthcare industry, intensifying the focus of private market investors."
Accelerating sustainability in alternatives,"May 28, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/accelerating-sustainability-in-alternatives,Sustainability factors are even more important in long-term private investments—a point that COVID is underlining.
Re-assessing private markets portfolios,"May 28, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1319874&tp_key=2fb30ab5ef,"Our investors share their latest thoughts on liquidity, rebalancing, and where we see opportunities in private markets."
Direct lending's next chapter,"May 28, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/direct-lending-next-chapter,"Markets have shifted, but there’s still a cohort of resilient, middle-market companies that need private capital."
The evolving picture in private equity,"May 20, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128&cid=emc:AlternativesUpdateInviteReplay052020,"The initial shock of the pandemic brought upon questions about valuations, capital calls, liquidity needs and secondaries."
Accelerating sustainability,"May 13, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128&cid=emc:ME:Acceleratingsustainability,Join our experts for a discussion of why ESG is likely to matter more than ever as the COVID crisis eases.
Today’s alternatives landscape,"May 13, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/alternatives-portfolio-construction,"Private markets shifted significantly amid the COVID shock, underscoring the value of thoughtful, risk-managed portfolio design."
Rethinking risk and rebalancing portfolios,"May 11, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/risk-and-portfolio-rebalancing,We examine approaches to assessing total portfolio risk and discuss opportunities for clients that are rebalancing.
The dynamic opportunity set in credit,"May 7, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128&cid=emc:ME:Thedynamicopportunitysetincredit,BlackRock’s credit sector experts as they discuss what they’re seeing across public and private markets
Renewables are proving resilient,"May 6, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/renewable-power-market-resilience,How well-structured deals and the ongoing global energy transition can benefit wind and solar investments in the current downturn.
Assessing portfolio risk and optimizing rebalancing strategies,"Apr 30, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1304731&tp_key=94cca6ffc7&sti=web,"We discuss approaches to assessing risk across the total portfolio, including public and private markets."
What’s ahead in APAC real estate?,"Apr 29, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/whats-ahead-apac-real-estate,BlackRock’s Head of APAC real estate discusses Asia’s property markets in the wake of COVID-19.
Comparing private market opportunity,"Apr 29, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128,Join us as we discuss private markets and the implications for outcome-based portfolio construction.
Multi-asset perspectives on the crisis,"Apr 24, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/multi-asset-market-review,"Our investors share their views on macro themes in today’s markets, portfolio positioning and traditional assumptions."
Inspecting infrastructure,"Apr 23, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?elq_mid=43663&elq_cid=278108&elq_cmp=13953&ei=1300142,Join us as we discuss the pandemic and its economic fallout impacting global infrastructure markets.
Capitalizing on equity market dislocation,"Apr 16, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300440&tp_key=38d8eacd4f&sti=web,"During this call, our investors will discuss how market dislocation is creating both short- and long-term opportunities in equities."
Why private equity secondaries may soon pick up,"Apr 15, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/private-equity-secondary-opportunities,Why we’re likely to see a significant increase in private equity secondary market transactions in the months ahead.
BlackRock raises US$5.1B for GEPIF III,"Apr 15, 2020",https://www.blackrock.com/institutions/en-us/strategies/alternatives/real-assets/infrastructure/global-energy-power-infrastructure-fund,Infrastructure fund close marks the largest alternative asset fundraise in BlackRock history.
Windows on real estate,"Apr 15, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?elq_mid=43463&elq_cid=2852230&elq_cmp=&ei=1300142&tp_key=baf6220128,Join our investors for views across regions and up and down the real-estate capital stack.
Finding long-term value in short-term turmoil,"Apr 9, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/risk-allocation-during-turmoil,How can investors allocate risk and stay focused on the long term while confronting tremendous short-term disruptions?
Opportunities and risks in credit markets,"Apr 9, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300436&tp_key=c53723d5b5&sti=web,We discuss opportunities and risks developing in credit markets amid historic volatility and unprecedented monetary policy.
Navigating an uneven road to recovery,"Apr 8, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/covid-market-recovery-strategy,"As the world plots its emergence from coronavirus closures, the pace of recovery and prospective outcomes look diverse."
Hedge funds through the downturn,"Apr 8, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1299895&tp_key=4a0f340e77,Join us as we discuss how the hedge fund industry faring in today’s volatile markets.
Rebalancing and tactical opportunities,"Apr 2, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1297533&tp_key=71260a0daa,BlackRock’s insights on the risks that may be hidden in institutional portfolios and thoughts on how to rebalance amid the coronavirus pandemic.
Private equity in a changed landscape,"Apr 1, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1300142&tp_key=baf6220128,Join BlackRock private equity investors for an update on keeping programs on track and alert to opportunities.
Assessing liquidity and opportunity in fixed income,"Mar 27, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/assessing-fixed-income-liquidity,Rick Rieder offers insights on how fixed income markets are functioning and where he sees opportunity.
Private markets: The view from a CIO’s dashboard,"Mar 25, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/private-markets-cio-views,Our leaders discuss the challenges and opportunities facing private market investors amid current turmoil.
Current dynamics in credit markets,"Mar 25, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1293933&tp_key=68527c152c,A look at the profound shifts in macroeconomics and geopolitics that have transpired as of late as well as thoughts on the imminent US election.
Private markets in a time of turbulence,"Mar 18, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1291854&tp_key=903af34c80,Alternative investors share perspectives on how the COVID-19 pandemic is playing out across the private markets.
US IG Credit Outlook Q1 2020,"Feb 27, 2020",https://www.blackrock.com/institutions/en-us/insights/webcasts/credit-webcast-series,"We discuss the start of 2020, evolving investment themes, M&A trends and ESG as an alpha driver."
Private markets 2020,"Feb 21, 2020",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/private-markets,Our guide to private markets offers a timely analysis of 13 distinct asset classes organized by three common outcomes.
Getting precise in private markets,"Feb 20, 2020",https://www.blackrock.com/institutions/en-us/insights/webcasts/getting-precise-in-private-markets,Institutional investors are increasingly looking to private markets to meet their most important objectives.
Global credit outlook,"Jan 29, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-credit-outlook,"We expect returns in 2020 to be closer to the average coupon of the market, but with greater underlying dispersion."
Q1 2020: Decoding the markets,"Jan 29, 2020",https://www.blackrock.com/institutions/en-us/insights/webcasts/2020-decoding-the-markets,Leaders of BlackRock’s Systematic Active Equity Platform leverage +10 years investment in big data and machine learning to provide a unique perspective on markets.
Global real assets outlook 2020,"Jan 27, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-real-assets-outlook,"BlackRock examines key themes for investors in 2020: a slowing cycle, accelerating change and the relative attractiveness of the asset class."
Q&A: Private debt in transition?,"Jan 20, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/private-debt,We explore what shape the European private debt market will take and the trends to watch in the medium term.
Alternative investments in modern portfolios,"Jan 14, 2020",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/alternatives-in-modern-portfolios,"Over the past 25 years or so, alternatives have evolved from a small part of the portfolios into a core holding."
Bonds as ballast,"Nov 26, 2019",https://www.blackrock.com/institutions/en-us/insights/portfolio-design/testing-the-limits-of-government-bonds,Read about why we think stubbornly low interest rates challenge long-held assumptions about the role government bonds play in strategic asset allocations.
Investing in healthcare stocks,"Jul 20, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investing-in-healthcare-stocks,COVID-19 has dominated healthcare conversations for two years. Equity investor Erin Xie explores the broader landscape and opportunities post-pandemic.
Global Healthcare Outlook 2022,"May 11, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/healthcare-outlook,The pandemic put the healthcare sector front and center in 2020 and 2021 as development of therapies and vaccines to combat COVID-19 got underway.
Key investment themes for Healthcare CFOs,"May 11, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/investment-themes-for-healthcare-cfos,"As we embark on Healthcare’s next chapter, we share key learnings from the pandemic for CFOs to consider as they navigate the path forward."
Investing in floating rates: Preparing for a rising rate regime,"Mar 25, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/floating-rate-instruments-credit,"In this credit insight, we compare the characteristics of different floating rate investments as an alternative to rate sensitive fixed income."
Insurers embrace risk: Exploring BlackRock’s Global Insurance Report,"Feb 4, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/international-insurance-society-webcast/insurers-embrace-risk,The International Insurance Society and BlackRock co-hosted a webinar to discuss key themes from BlackRock’s 2021 Global Insurance Report. Explore the recap.
Investment implications of COP26,"Feb 1, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/investment-implications-cop26.pdf,"COP26 brought tens of thousands of public officials, corporate leaders, and climate activists to chart a path to limiting global warming. BlackRock experts discussed where they see both investment risks and opportunities coming out of the conference."
Key themes for corporate pensions in 2022,"Feb 1, 2022 | By Martin Jaugietis, CFA",https://www.blackrock.com/institutions/en-us/insights/investment-actions/key-themes-for-corporate-pension-plans,"In our fourth annual corporate pension themes publication, we encourage all U.S. corporate plans to begin thinking beyond fully funded across four dimensions: glidepath design, portfolio construction, implementation, and end-game solutions."
Q4 2021 OIG Digest,"Dec 20, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/official-institutions-digest-q4-2021-amrs.pdf,"As 2021 draws to a close, we round up the key trends and themes that have shaped the Official Institutions investing landscape over the course of the year – and highlight some insights on what might be in store for 2022."
Insurance Leaders Symposium 2021: Resilience through innovation,"Dec 1, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/insurance-leaders/resilience-through-innovation,"Watch on-demand content from the 2021 Insurance Leaders Symposium, which featured senior BlackRock thought leaders and influential industry voices convening to explore the “new normal” for insurers."
Global Insurance Report 2021: Insurers embrace risk,"Nov 15, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-insurance-report-2021,"Against the backdrop of an increasing risk appetite, global insurers share their views on growing allocations to non-core assets, their increased focus on sustainability and accelerating advances in technology."
What’s in store for emerging markets?,"Oct 29, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/emerging-markets-outlook-amrs.pdf,"Emerging markets have had a challenging year as vaccine rollouts have lagged and economic reopening has been delayed, particular in comparison to developed markets counterparts. This paper explores what is next for EM investors."
How to save America’s retirement dream,"Oct 18, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/defined-contribution/how-to-save-americas-retirement-dream,"Zach Buchwald, head of USCA Institutional Business, and Anne Ackerley, head of the Retirement Group, give their insight on the future of America’s retirement in this featured piece, originally published in Newsweek."
"Corporate pensions: Improving funding ratios, but still hard at work","Sep 23, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/corporate-pensions-funding-ratios,"In our latest corporate pensions peer study, BlackRock examines dispersions and how plans can align their investment strategy with their end-state objectives."
What is the value of tax management in legacy portfolios?,"Sep 16, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/tax-management-legacy-portfolio,"In this featured insight, we highlight research from Aperio which analyzes the tax benefits achieved in legacy portfolios at inception and thereafter."
Higher inflation: turning threat into opportunity,"Aug 4, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/higher-inflation-threat-into-opportunity.pdf,"Due to a combination of strong demand as many economies restart post COVID lockdowns and widespread supply bottlenecks, inflation has been surging in many parts of the world. How can we prepare for inflationary outcomes in a whole portfolio context?"
Q2 2021 OIG digest,"Jul 15, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/q2-2021-official-institutions-digest.pdf,"As we close out the first half of 2021, investors are becoming increasingly concerned over inflation and the delta variant, while sustainability remains top of mind for global official institutions. Read more about our outlook and key trends."
Is it too late to invest in healthcare and tech?,"Jun 30, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/healthcare-and-tech-investing.pdf,"Recent weeks have seen volatility in equity markets, and particularly bumpy performance for tech and healthcare. Is the run-up of these star sectors coming to a halt as the post-pandemic era sets in? We do not think so."
"Public pensions, post pandemic","Jun 28, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/public-pensions-post-pandemic,The BlackRock Client Insight Unit analyzed data of more than 85 U.S. public pensions to understand the impact of the pandemic downturn and other extreme market events. Read more in our peer study.
Trickle to main stream - Central banks’ journey into sustainability,"Jun 24, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/central-banks-sustainability.pdf,"This paper examines how climate change gradually imposed as a legitimate and essential issue for CBs to consider, provides an overview actual practices across the global central banking community and offers recommendation for CBs at different stages."
Opportunities in credit for public pensions,"Jun 21, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/pension-credit-opportunities,"Explore insights into the role of credit for corporate and public pensions in a low yield environment and opportunities for yield, return and diversification."
Opportunities in credit for corporate pensions,"Jun 21, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/pension-credit-opportunities,"Explore insights into the role of credit for corporate and public pensions in a low yield environment and opportunities for yield, return and diversification."
Navigating a new era of tax policy 2021,"Jun 18, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/navigating-tax-policy,"In this blog, we will discuss how the upcoming changes to US tax policy and tax advantage solutions will impact family offices."
ESG education for endowments and foundations,"Jun 16, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/education/esg-endowments-foundations,"Incorporating sustainability can help endowments and foundations identify investment risks, generate excess return and create more resilient portfolios. In this training, we explore opportunities and solutions in ESG investing."
Our outlook on commodities and ESG integration,"May 10, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/commodities-renewables-outlook.pdf,Commodity prices benefitted from the global economic restart after the pandemic pause. Going forward we believe ESG will be a core component of the investment process as a risk and opportunity.
A new era of portfolio construction for endowments,"Apr 26, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/portfolio-construction-endowments,"BlackRock examines how the endowment model has performed and offers insight on how E&Fs can improve their investing, risk management and portfolio construction."
Q1 2021 OIG digest,"Apr 12, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/q1-2021-official-institutions-digest.pdf,"Markets in 2021 have entered the post-pandemic era, with global equities are hovering near all-time highs and market anxiety now driven by rising interest rates. Read more in our first Official Institutions quarterly digest of the year."
Key investment themes for family offices in 2021‌,"Mar 26, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/key-themes-for-family-offices,"In this start-of-the-year blog, we discuss investment themes driving markets in 2021, tactical asset allocation ideas and where we see opportunities for family office investors."
The evolution of sustainable investing for family offices,"Mar 26, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/sustainable-investing-family-offices,Family offices have moved from learning about sustainable investing to incorporating it. Explore how we're seeing family offices engaging in climate and impact strategies.
Q1 2021 Emerging Markets Outlook,"Mar 5, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/official-institutions-q1-2021-emerging-markets.pdf,"The bullish case for emerging markets is not history. For both EM equity and fixed income, 2021 is likely to be a tale of two parts –a strenuous beginning to the year and a potentially brighter finish."
Adding diversified global credit to U.S. public pensions,"Feb 28, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/diversified-credit-public-pensions.pdf,Global public credit markets have grown significantly in the last decade. We analyzed the average asset allocation of U.S. public pension plans and the impact of adding credit to portfolios.
Adding diversified global credit to U.S. corporate pensions,"Feb 28, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/diversified-credit-corporate-pensions.pdf,Global credit has grown into an asset class that can assist in generating income and dampening volatility. We analyzed the average asset allocation of the largest 100 U.S. corporate pension plans and the impact of adding credit to portfolios.
LDI in a rising rate environment,"Feb 26, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/ldi-rising-rate-environment,"How have corporate pensions been responding to rising rates, and how should we think about LDI in a rising rate world?"
Real Assets in Reserve Portfolios,"Feb 26, 2021",https://www.blackrock.com/institutions/en-us/literature/whitepaper/real-assets-central-bank-reserve-portfolios.pdf,"As bond yields are expected to remain low, investors with gov't bond denominated portfolios are considering expanding their investment universe. We explore in this piece the role that commodities could play in portfolio construction."
Is sustained higher inflation on the cards?,"Jan 26, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/sustained-higher-inflation.pdf,"The prospect of sustained higher inflation is at the heart of market debates in 2021. Read more about what our experts think is to come, and how it is impacting portfolio positioning."
Global family office survey,"Dec 29, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-family-office-survey,"The BlackRock global family office survey combines data about the experiences and plans of 185 family offices across the globe, featuring insights around market outlook, asset allocation and sustainable investing."
OIG Q4 digest,"Dec 21, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/q4-news-amers.pdf,"As one of the most challenging years on record comes to a close, we've rounded up the key trends and themes currently shaping the Official Institutions investing landscape - as well as highlighting some of our insights on what we think 2021 holds."
An endowment’s perspective on the outsourced CIO model,"Dec 14, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/endowments-ocio-overview,"Jeff Mindlin, CIO of ASU Enterprise Partners, sat down with Mark McCombe, BlackRock’s Chief Client Officer, to discuss how endowments can build a successful OCIO partnership."
Integrating sustainability into capital market assumptions,"Dec 10, 2020",https://www.blackrock.comhttps://event.webcasts.com/starthere.jsp?ei=1410662&tp_key=9941279477,"Ahead of BlackRock’s forthcoming launch of new CMAs that will integrate sustainability for the first time, we gathered BlackRock thought leaders to discuss the framework and importance of incorporating ESG considerations into portfolio construction."
Public pensions in the 2020s: Planning for a different decade ahead,"Nov 15, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/public-pensions-in-2020s,BlackRock analyzed fund-level data for nearly 70 public pensions to gauge how likely they are to meet their return assumptions over the next decade.
Family Office Virtual Summit: Collective Intelligence,"Oct 29, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/our-clients/family-offices/virtual-summit-2020,"The BlackRock Family Office Virtual Summit hosted 450 clients from the US, Canada, LatAm and EMEA, providing an agenda oriented around networking and BlackRock’s collective intelligence. For more, visit the event hub."
Global Insurance Report 2020,"Oct 20, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-insurance-report-2020,360 senior insurance executives across the globe share their insights into how the pandemic is fundamentally reshaping the industry and their investment approach in BlackRock's ninth annual global insurance survey.
OIG Q3 digest,"Oct 3, 2020 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/newsletters/official-institutions-digest-q3-2020-amrs.pdf,"Entering the final stretch of a challenging year for investors, we review OI key themes and trends, and discuss what's to come next."
Impact of recent market volatility on corporate pensions,"May 5, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/volatility-hits-corporate-pensions,"We examine the impact of recent volatility on the funded status, asset allocations and active risk of U.S. corporate pensions."
Key themes for corporate plans after Q1 volatility,"May 1, 2020",https://www.blackrock.com/institutions/en-us/insights/investment-actions/key-themes-for-corporate-pension-plans,BlackRock has updated its 2020 investment themes for corporate pension plans given the sharp declines in equity markets and risk assets around the world.
Impact of recent market volatility on public pensions,"Apr 3, 2020",https://www.blackrock.com/institutions/en-us/insights/market-pulse/volatility-hits-public-pensions,We assess how market volatility has impacted funded status and altered asset allocations at U.S. public pension plans.
A guide to DC loans during turmoil,"Mar 23, 2020",https://www.blackrock.com/institutions/en-us/insights/defined-contribution/borrowing-from-retirement-plans,What to tell participants about borrowing from their DC plans during market volatility.
Three actions for plan sponsors,"Mar 12, 2020",https://www.blackrock.com/institutions/en-us/insights/defined-contribution/volatility-in-retirement-plans,Helping participants mitigate market volatility is crucial to protecting their retirement accounts.
Impact of coronavirus on central banks,"Mar 11, 2020",https://www.blackrock.com/institutions/en-us/insights/impact-of-coronavirus-on-central-banks,Q&A with Stanley Fischer on how central banks should react to the coronavirus shock.
How smaller endowments make do,"Feb 6, 2020",https://www.blackrock.com/institutions/en-us/literature/publication/chief-investment-officer-reprint.pdf,OCIO partnerships have the potential to help smaller endowments diversify their investing strategies to better deliver against their outcomes.
Take advantage of the SECURE Act,"Jan 23, 2020",https://www.blackrock.com/institutions/en-us/our-clients/defined-contribution/secure-act-improving-americans-retirement-security,"Barbara Novick, BlackRock’s Vice Chairman and head of the Global Public Policy Group, called the SECURE Act “our greatest opportunity in over a decade to improve retirement security for millions of Americans."
A climate scenario analysis of US insurers’ portfolios,"Dec 5, 2019",https://www.blackrock.com/institutions/en-us/insights/investment-actions/climate-change-analysis-of-us-insurers-portfolios,Here’s how investors can better understand climate risks and adapt investment strategies to manage them.
Raising resilience in strategic portfolios,"Sep 23, 2019",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-insurance-report-2019/raising-resilience-strategic-portfolios,"In our view, we believe it’s crucial to consider explicitly the uncertainty inherent in return estimates when building resilient portfolios."
Sourcing resilience in fixed income,"Sep 23, 2019",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-insurance-report-2019/fixed-income-resilience,BlackRock Description: We identify six themes that we believe are critical in helping to build those more resilient portfolios.
Portfolio resilience through sustainability,"Sep 23, 2019",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-insurance-report-2019/portfolio-resilience-through-sustainability,"We explore how insurers can enhance their resilience to climate change from both a physical and transition risk perspective, with data and scenario analysis as the common thread."
Insurance portfolio construction for alternatives,"Sep 23, 2019",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-insurance-report-2019/portfolio-construction-for-alternatives,Insurer's complex liability profiles and regulatory and accounting constraints create additional portfolio construction considerations.
Global Insurance Report 2019: Re-engineering portfolio resilience,"Sep 23, 2019",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-insurance-report-2019,"BlackRock’s eighth annual global insurance survey provides perspectives on markets and portfolio construction from 360 senior insurance executives, plus client interviews and insights from BlackRock’s experts."
Positioning for net zero,"Jul 15, 2022 | By Sustainable investing",https://www.blackrock.com/institutions/en-us/insights/positioning-for-the-net-zero-transition,The transition towards a decarbonized economy is underway. Read our take on how clients can position their portfolios now for that economic transformation.
Addressing climate change in sovereign bond portfolios,"Jan 28, 2022 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/climate-change-in-sovereign-bonds,Sovereign bonds play an important role in building balanced portfolios. They also provide an opportunity to help transition toward net zero if investors actively seek to reduce carbon emissions within their sovereign bond allocations.
How the Paris Agreement is shaping equity investing,"Nov 16, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/equity-investing-paris-agreement,The 2015 Paris Agreement sets a global standard for preventing climate change. Learn how it’s changing the way equity investors uncover alpha today.
How to finance the net-zero transition in emerging markets,"Oct 29, 2021 | By BlackRock Investment Institute",https://www.blackrock.com/institutions/en-us/insights/blackrock-investment-institute/financing-the-net-zero-transition,"Countries have a stake in avoiding mounting climate risk, but emerging markets will play a key role in the net-zero transition. Dive deeper in this featured insight from the BlackRock Investment Institute."
A world in transition,"Oct 21, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/blackrock-future-forum/world-in-transition,"We convened today’s top minds - including John Kerry, Ray Dalio and Rick Rieder - to examine a world emerging from crisis and themes shaping the course for policy, global markets and investors. Explore the BlackRock Future Forum on-demand content."
A new world of renewables: Part II,"Oct 20, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/new-world-renewables-part-two,"Read part two of ‘A new world of renewables’, which takes a closer look at emerging market trends and opportunities for renewable power investments."
A multi-asset approach to navigating net zero,"Oct 20, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/multi-asset-approach-net-zero,"In this featured insight, we focus on the practical implications of moving from climate pledges to practice for multi-asset investors by sharing our preferred framework."
Global Impact Annual Report,"Jul 21, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/global-impact-annual-report,Our report captures the reality of the challenges we face amid the ongoing global pandemic as well as the resilient responses that many impact enterprises offer as solutions. Explore more in BlackRock’s inaugural Global Impact Annual Report.
Q2 2021 OIG digest,"Jul 15, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/q2-2021-official-institutions-digest.pdf,"As we close out the first half of 2021, investors are becoming increasingly concerned over inflation and the delta variant, while sustainability remains top of mind for global official institutions. Read more about our outlook and key trends."
Integrating the UN SDGs in investments,"Jul 12, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/integrating-un-sdgs-in-investments,We explore how the UN SDGs can be viewed through the lens of financial materiality and used for building strategies that invest in the transition towards a more sustainable and equitable world.
Impact investing in public equities,"Jun 28, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/impact-investing-in-public-equities,Impact investing in public equities can help accomplish two objectives: generate financial outperformance and provide a differentiated source of alpha. Read more in our report.
Trickle to main stream - Central banks’ journey into sustainability,"Jun 24, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/literature/whitepaper/central-banks-sustainability.pdf,"This paper examines how climate change gradually imposed as a legitimate and essential issue for CBs to consider, provides an overview actual practices across the global central banking community and offers recommendation for CBs at different stages."
A new world of renewables: Part I,"May 26, 2021 | By BlackRock",https://www.blackrock.com/institutions/en-us/insights/investment-actions/new-world-renewables,"Read part one of ‘A new world of renewables’, which assesses the context, opportunities and priorities in emerging markets for renewable power investments."
